Шанс,Вопрос,Тэг
3,Как создать контекстный менеджер,Python
3,"Какие еще есть основные методы в Python, кроме магических",Python
3,Пустой словарь определяется как True или False,Python
3,В чем сходства и отличия датаклассов и namedtuple,Python
3,Как происходит обращение к namedtuple,Python
3,Как в обычном tuple происходит обращение,Python
3,Какими способами можно напечатать stderr,Python
3,Что такое моржовый оператор,Python
3,В чем отличия pytz от datetime,Python
3,Что такое аннотация типов Union,Python
3,Что такое аннотация типов Optional,Python
3,Как работает пакетирование библиотек Python,Python
3,Чем отличается rematch от research,Python
3,Что такое пакет,Python
3,как в python работает соглашение по использованию атрибутов,Python
3,Какие есть особенности исключения в Python,Python
3,Как работают вложенные исключения,Python
3,С какими объектами можно писать однострочники (comprehensions),Python
3,Какие наборы элементов есть в Python,Python
3,Расскажи про первый и второй механизм garbage collector,Python
3,Разница между dict и list,Python
3,Какие есть списковые генераторы,Python
3,Как бы добавил к списку точно такой же список,Python
3,Что будет если использовать метод items на словаре,Python
3,Расскажи про map,Python
3,Что такое enumerate,Python
3,Что нужно сделать в самом начале при чтении файла,Python
3,"Что будет, если не закрыть файл",Python
3,Что делает метод finally,Python
3,Как связаны for и next,Python
3,Что такое uset,Python
3,"Назови несколько дандер методов, которые есть в контекстном менеджере",Python
3,Что такое тернарный оператор,Python
3,Какие проблемы решает GIL,Python
3,Какие есть плюсы и минусы GIL,Python
3,Чем отличаются относительный импорт и абсолютный,Python
3,Что такое set,Python
3,Что такое dict comprehensions,Python
3,"Как работают операторы and, or, not",Python
3,"Что возвращают операторы and, or, not",Python
3,Как реализовать copy и deepcopy,Python
3,Как происходит размещение пространств имен в Python,Python
3,Как работает правило LEGB,Python
3,Как работают операторы global и nonlocal,Python
3,Приведи примеры использования функции map,Python
3,Приведи примеры использования функции filter,Python
3,Приведи примеры использования функции zip,Python
3,Что такое функция,Python
3,Какие преимущества использования функций,Python
3,"Какой будет результат выполнения функции, если нет return",Python
3,Когда выполняются аннотации типов,Python
3,Какие ограничения есть у рекурсии в Python,Python
3,Какие преимущества генератора относительно функции,Python
3,Что такое generator comprehension,Python
3,Какие блоки для обработки исключений существуют в Python,Python
3,Как будет работать использование нескольких except,Python
3,Как переподнять исключение в блоке except,Python
3,Зачем нужны классы BaseExceptionGroup и ExceptionGroup,Python
3,В чем разница между except и *except,Python
3,Зачем нужен *except,Python
3,Как создать свой тип исключения,Python
3,Когда выполняется файл init py,Python
3,В чем разница между import foo и from foo import bar,Python
3,В чем разница между from foo import bar и from foo import *,Python
3,Зачем используется as при импорте*,Python
3,Когда возникает проблема циклического импорта,Python
3,Как бы охарактеризовал Python,Python
3,Как понимаешь ссылочную модель на которой построен пайтон,Python
3,Для чего нужен счетчик ссылок Python,Python
3,Какие основные функции питона знаешь,Python
3,Что такое garbage collector,Python
3,Как сделать package,Python
3,Какие плюсы и минусы у Python для тебя,Python
3,Какие неизменяемые типы данных знаешь,Python
3,Почему стоит использовать менеджер контекста,Python
3,Какие методы есть у итератора,Python
3,Что должен содержать метод next для итерации,Python
3,Какие объекты можно положить в множество,Python
3,"Что нужно положить в класс, чтобы он стал хешируемым",Python
3,Как множества и словари реализованы внутри,Python
3,Что будет если у двух элементов будет одинаковый хеш,Python
3,Для чего нужен frozenset,Python
3,"В каких случая используем словари, а в каких списки",Python
3,Чем отличаются списки и множества,Python
3,Как ещё называются неизменяемые типы данных,Python
3,За что отвечает метод iter,Python
3,Что такое циклы,Python
3,Какие есть коллекции и их особенности по скорости работы и использовании памяти,Python
3,Чем iterator отличается от iterable,Python
3,Как поменять значения 2 переменных местами,Python
3,Какие виды аргументов есть у функций,Python
3,Что быстрее списки или кортежи,Python
3,Что такое хешируемые типы данных,Python
3,Что такое хеш и как он используется в словарях,Python
3,Приведи пример использования контекстного менеджера.,Python
3,Что значит динамически менять поведение функции,Python
3,"Как написать декоратор, чтобы он работал с параметрами",Python
3,Что такое callable-объект,Python
3,Расскажи про reduce,Python
3,Разница между компилируемые и интерритируемыми языками,Python
3,Как у Python с поддержкой функционального программирования,Python
3,Что такое объект первого класса,Python
3,Что такое функция высшего порядка,Python
3,Что такое каррирование,Python
3,Опишите функции filter модуля functools,Python
3,Какие еще знаешь функции из модуля functools,Python
3,Какие функции знаешь из модуля itertools,Python
3,Для чего нужен модуль operator,Python
3,Почему использовать изменяемые объекты как параметры по-умолчанию плохо. Приведите пример плохого случая. Как исправить,Python
3,Можно ли передавать функцию в качестве аргумента другой функции,Python
3,Можно ли объявлять функцию внутри другой функции. Где она будет видна,Python
3,Что такое переменная,Python
3,Чем отличается while от for,Python
3,Что такое функция range,Python
3,Что означает %s,Python
3,Как убрать из списка дубликат элемента,Python
3,Расскажите про арифметический оператор //,Python
3,Встроенные функции Python,Python
3,Разница между append() и extend(),Python
3,Разница между help() и dir(),Python
3,Что будет если в dir() не передать атрибут,Python
3,Какие есть зарезервированные слова,Python
3,Чувствителен ли Python к регистру,Python
3,Зачем используют *args **kwargs,Python
3,Что такое сериализация,Python
3,Что такое десериализация,Python
3,Что такое pickling,Python
3,Что такое unpickling,Python
3,Обязательно ли функция Python должна возвращать значение,Python
3,Есть ли в Python функция main(),Python
3,Что такое match/case,Python
3,Зачем оператор pass,Python
3,Зачем нужны срезы,Python
3,В чем разница между func и func(),Python
3,Как работает функция filter(),Python
3,Переменные в Python передаются по ссылке или по значению,Python
3,Как развернуть список,Python
3,Как работает умножение строк,Python
3,Как работает умножение списка,Python
3,Как объединить списки в Python,Python
3,Как объединить два массива,Python
3,Как округлить число до трех десятичных знаков,Python
3,Как разбить список,Python
3,Как работают any() и all(),Python
3,Как вернуть двоичный код целого числа,Python
3,"Как проверить, существует ли значение в списке",Python
3,Как получить абсолютное значение целого числа,Python
3,Как объединить два списка в список кортежей,Python
3,"Как отсортировать словарь по ключам, в алфавитном порядке",Python
3,Как удалить все пробелы из строки,Python
3,"В чем разница между выражениями pass, continue и break",Python
3,"Как проверить, что в строке только числа или буквы",Python
3,Как получить список ключей из словаря,Python
3,Как перевести строку в верхний/нижний регистр,Python
3,"В чем разница между remove, del и pop",Python
3,Что за выражение raise,Python
3,Числа в python,Python
3,В чем отличие изменяемые / неизменяемые,Python
3,В чем отличие упорядоченные / неупорядоченные,Python
3,Cписки [list],Python
3,Cловари {dict},Python
3,Кортежи (tupl),Python
3,Байтовые массивы (byte array),Python
3,NoneType,Python
3,Array,Python
3,Какие есть виды объединения строк,Python
3,Сколько может быть объектов None в памяти,Python
3,"В каких случаях использовать встроенные коллекции (list, tuple, set)",Python
3,Можно ли создать словарь с упорядоченным набором ключей в Python,Python
3,Какая будет сложность вставки/извлечения в dict,Python
3,Что такое хеширование,Python
3,Как обойти коллизию,Python
3,Что такое автоматичная очистка памяти,Python
3,Что такое модель памяти Python,Python
3,Что такое последовательность,Python
3,Какие операции поддерживают большинство последовательностей,Python
3,Можно ли изменить отдельный символ внутри строки,Python
3,Как соединить список строк в одну,Python
3,Как разбить строку на список строк,Python
3,Как кодировать и декодировать строки,Python
3,Что такое диапазон,Python
3,"Есть кортеж из трех элементов. Назначить переменным a, b, c его значения",Python
3,Как сравниваются последовательности,Python
3,Как понять хешируемый ли объект,Python
3,Что такое множество,Python
3,Для чего применяются множества,Python
3,Какие операции можно производить над множествами,Python
3,Как происходит проверка множеств на равенство,Python
3,Что такое отображение,Python
3,Какие нюансы есть в использовании чисел как ключей,Python
3,Какие операции можно производить над отображениями,Python
3,Как отсортировать список словарей по определенному полю,Python
3,Есть два списка – ключи и значения. Как составить из них словарь,Python
3,Что такое коллизия,Python
3,Что такое type,Python
3,Как работает поиск метакласса при создании объекта,Python
3,Как работают метаклассы,Python
3,Зачем вообще использовать метаклассы,Python
3,Как получить список атрибутов объекта,Python
3,Как в классе сослаться на родительский класс,Python
3,"В чем смысл параметров _value, __value",Python
3,Что такое и чем отличается old-style от new-style classes,Python
3,Что такое контейнер,Python
3,Что такое итерабельный объект,Python
3,Что такое генераторная функция,Python
3,Что делает yield,Python
3,В чем отличие [x for x in y] от (x for x in y),Python
3,Что особенного в генераторе,Python
3,Как получить из генератора список,Python
3,Что такое подгенератор,Python
3,Какие методы есть у генераторов,Python
3,Можно ли извлечь элемент генератора по индексу,Python
3,Что возвращает итерация по словарю,Python
3,Как итерировать словарь по парам ключ-значение,Python
3,Какие знаешь итераторы,Python
3,"Как мы можем понять, что итератор это итератор",Python
3,Разница между итератором и итерируемым объектом и генератором в Python,Python
3,Что такое замыкание (Closure),Python
3,Можно ли декорировать классы,Python
3,Можно ли создать декоратор из класса,Python
3,Как можно вызвать декоратор без @,Python
3,Что возвращает декоратор,Python
3,Можно ли использовать несколько декораторов для одной функции,Python
3,Что такое обработка исключений,Python
3,Для чего могут применять конструкцию try finally без except,Python
3,Как правильно по-разному обрабатывать исключения,Python
3,Что будет если ошибку не обработает блок except,Python
3,"Что делать если нужно перехватить исключение, выполнить действия и опять возбудить это же исключение",Python
3,Что такое сцепление исключений,Python
3,Зачем нужен блок else,Python
3,Что можно передать в конструктор исключения,Python
3,Какие есть классы исключений,Python
3,В каких случаях можно обработать SyntaxError,Python
3,Для чего нужны предупреждения (warnings) и как создать собственное,Python
3,Для чего нужен модуль warning,Python
3,Что может быть декоратором. К чему может быть применен декоратор,Python
3,"Что будет, если декоратор не возвращает ничего",Python
3,В чем отличие @foobar от @foobar(),Python
3,Что такое фабрика декораторов,Python
3,Что такое файловый объект,Python
3,Какие есть виды файловых объектов,Python
3,В чем отличие текстовых и бинарных файлов,Python
3,Как пользоваться функцией open,Python
3,Что делают методы tell и seek,Python
3,Что делают StringIO и BytesIO,Python
3,Являются ли файловые объекты контекстными менеджерами,Python
3,"json.dumps / json.dump , json.loads / json.load",Python
3,"Что делать если нужно сериализовать данные, которые не поддерживаются стандартным модулем json",Python
3,"pickle.dumps / pickle.dump, pickle.loads / pickle.load",Python
3,Что такое Git Rebase,Нет
3,Что такое force push,Нет
3,Что такое pre-commit check,Нет
3,"Может ли сервер изменить (добавить, удалить) куки",Нет
3,Разница между модулем и пакетом,Нет
3,Виды типизации,Нет
3,Какие типы данных относятся к структурам данных,Нет
3,Как создать Git репозиторий локально,Нет
3,Что такое git push,Нет
3,Что делает git commit,Нет
3,Как установить виртуальное окружение,Нет
3,Виды форматирования строк,Нет
3,Cрезы или слайсы в python,Нет
3,Что такое итерация,Нет
3,Каким образом реализовано ветвление в python,Нет
3,Как запросить у пользователя ввод,Нет
3,Преобразование типов,Нет
3,Строка это последовательность или нет,Нет
3,Какие методы списков,Нет
3,Что в python не является объектом,Нет
3,Название переменных,Нет
3,Что такое литералы,Нет
3,Можно ли число сделать строкой,Нет
3,Как импортировать модуль,Нет
3,Как импортировать все содержимое модуля,Нет
3,Сколько пар ключ значение может быть в словаре,Нет
3,Какой тип данных может быть значением в словаре,Нет
3,Как узнать id элемента,Нет
3,Как узнать версию python,Нет
3,Отличия второго python от 3,Нет
3,Как прервать выполнение цикла,Нет
3,Что означает continue,Нет
3,Что будет если сравнить 5 и 5.0,Нет
3,Что быстрее python или c++,Нет
3,Что такое байт код,Нет
3,Как избежать конфликтов при импорте файлов,Нет
3,Что означает %d,Нет
3,Сколько может быть родителей и наследников у класса,Нет
3,Что такое перегрузка операторов,Нет
3,Модификаторы доступа,Нет
3,Как пишутся комментарии в python,Нет
3,Как можно обратить (reverse) порядок элементов в списке,Нет
3,"Если мы не поставим двоеточие в конце строки для цикла ""do-while"", он все равно сработает",Нет
3,Расскажите про арифметический оператор %,Нет
3,Расскажите про арифметический оператор **,Нет
3,Как посчитать длину строки (string),Нет
3,Что такое xml,Нет
3,Чем отличается HTML и XML,Нет
3,Что такое CRUD,Нет
3,На каком этапе в приложении Django происходит запрос к базе данных,Нет
3,Какой результат будет Post.objects.all() и какого типа вернет,Нет
3,Что такое SQL,Нет
3,Каким запросом я могу достать все данные из таблицы,Нет
3,Что такое многие-ко-многим,Нет
3,Как реализуется М2М в SQL,Нет
3,Что такое View,Нет
3,Звёздный синтаксис,Нет
3,Два способа создания класса,Нет
3,Чем файл .pyc отличается от .py,Нет
3,Что делает python объектно-ориентированным,Нет
3,Как производится отладка программы на Python,Нет
3,Как вставить объект чтобы он оказался под определенным индексом,Нет
3,"Что нужно сделать, чтобы функция возвращала значение",Нет
3,"Что если в функции не будет return, будет ли она что-то возвращать",Нет
3,Как конвертировать список в строку,Нет
3,SQL оператор HAVING,Нет
3,Множественное наследование,Нет
3,Компоненты django,Нет
3,Как посмотреть количество доступной ОЗУ на Linux,Tools
3,Какие NoSQL базы данных знаешь,Базы данных
3,Какой редактор используешь,Tools
3,Какую операционную систему используешь,Tools
3,Что используешь для организации рабочего времени,Tools
3,Насколько хорошо знаешь Linux,Tools
3,Почему мы используем enumerate() при итерации последовательности,Python
3,Чем WebSocket отличется от обычного сокета,HTTP / API
3,Как реализовать декоратор с аргументом,Python
3,Зачем нужен wraps,Python
3,Каким образом можно в CI/CD встроить проверку типов,Tools
3,Что такое CSV,Tools
3,Какой редактор используете,Tools
3,Какую операционную систему используете,Tools
3,Что используете для организации рабочего времени,Tools
3,Насколько хорошо вы знаете Linux,Tools
3,Как посмотреть список запущенных процессов на Linux,Tools
3,Что такое PID процесса,Tools
3,Как проверить доступность порта на удаленной машине,Tools
3,Назовите админские команды в Linux,Tools
3,Что делали в Docker,Tools
3,Что такое ветка в GIT,Tools
3,Как в одной команде проиндексировать все файлы и добавить коммит,Tools
3,Что такое git stash,Tools
3,Какие бывают сигналы в Linux,Tools
3,Для чего использовал makefile в Linux,Tools
3,Какая минимальная периодичность использования crontab,Tools
3,Расскажи о системе прав в Linux,Tools
3,Как собрать образ в Docker,Tools
3,Cоздается дефолтная сеть в докере или нужно создавать самому,Tools
3,Какой брокер использовал ранее,Tools
3,Как обеспечить беспрерывную работу сервиса ci/cd,Tools
3,Зачем нужен kubernetes,Tools
3,С какими системами мониторинга знаком,Tools
3,Какое flo используешь,Tools
3,От чего будешь создавать ветку,Tools
3,Какими тузами пользуешься при работе с kit'ом,Tools
3,Какой IDE используешь,Tools
3,Чем отличается docker от виртуальной машины,Tools
3,Что такое docker daemon,Tools
3,Зачем нужен docker registry,Tools
3,Что такое docker registry,Tools
3,Назови основные команды docker,Tools
3,Зачем нужен докер файл,Tools
3,Зачем нужен файл docker.ignore,Tools
3,Как используется кеширование в докере,Tools
3,Что такое docker image,Tools
3,Что такое docker container,Tools
3,Зачем нужен volume в docker,Tools
3,Работал ли с AWS,Tools
3,Использовал ли в CSS препроцессоры,Tools
3,Какой опыт с google cloud,Tools
3,Что такое Apache Airflow,Tools
3,В чем отличие Cron от Apache Airflow,Tools
3,Какую систему контроля версий используешь,Tools
3,Плюсы и минусы NoSQL базы данных,SQL
3,Плюсы и минусы реляционных баз данных,SQL
3,Как реализуется связь один к одному,SQL
3,Как реализуется связь один ко многим,SQL
3,Что такое Primary key,SQL
3,Что такое Foreign key,SQL
3,Что такое self join,SQL
3,Что такое запросы на группировку,SQL
3,Разница между DELETE и TRUNCATE,SQL
3,Что такое оконные функции,SQL
3,Разница оконной функции и group by,SQL
3,Какие есть операторы ограничений,SQL
3,Зачем нужны триггеры,SQL
3,n+1,SQL
3,Какая разница между CI и CD,SDLC
3,Какая разница между Scrum и Kanban,SDLC
3,"что будете делать, если на проекте нет тестов и заказчик не хочет тратить на их разработку время и деньги",SDLC
3,Что такое Code Debt и как с ним быть,SDLC
3,Зачем нужен docker registry,REST & SOAP
3,Как бы решили какой из REST или SOAP веб сервисов использовать,REST & SOAP
3,Какие способы для мониторинга веб-приложений в production использовал или знаешь,REST & SOAP
3,В чем разница между структурой данных стек и очередь,"Алгоритмы, структуры"
3,Опиши основные операции структур стек и очередь,"Алгоритмы, структуры"
3,"Что знаешь о структуре ""очередь""","Алгоритмы, структуры"
3,"Опиши алгоритм, который будет брать числа от 1 до 1000 и подсчитывать количество чисел с семеркой","Алгоритмы, структуры"
3,Какая алгоритмическая сложность у получения ключа из словаря,"Алгоритмы, структуры"
3,Какие алгоритмы сортировок знаешь,"Алгоритмы, структуры"
3,Что такое сортировка слиянием,"Алгоритмы, структуры"
3,Чем отличается быстрая сортировка от сортировки слияния,"Алгоритмы, структуры"
3,Какая сложность сортировки слияния в худшем случае,"Алгоритмы, структуры"
3,Какая основная идея функционального программирования,"Алгоритмы, структуры"
3,Какая разница между EXPLAIN и EXPLAIN ANALYZE,Базы данных
3,В чем разница между рекурсией и итерированием,"Алгоритмы, структуры"
3,На основе какой структуры данных реализованы словари в Python,"Алгоритмы, структуры"
3,Какая сложность у операции перебора всех элементов списка,"Алгоритмы, структуры"
3,Какая сложность у операции поиска всех элементов по индексу,"Алгоритмы, структуры"
3,Какая сложность у бинарного поиска,"Алгоритмы, структуры"
3,Какова сложность вставки в список,"Алгоритмы, структуры"
3,Чем отличается множество от массива,"Алгоритмы, структуры"
3,Как работает динамический массив,"Алгоритмы, структуры"
3,В чем преимущество хеш мапов перед массивами,"Алгоритмы, структуры"
3,Как работает хеш мап,"Алгоритмы, структуры"
3,В чем сложность массивов и хешмапов,"Алгоритмы, структуры"
3,Насколько сложен поиск по ключу в хеш таблице,"Алгоритмы, структуры"
3,"Если бы у нас нет было list в python, то как построить такую структуру данных","Алгоритмы, структуры"
3,Почему поиск по ключам в словаре работает быстро,"Алгоритмы, структуры"
3,Чем массивы отличаются от списков,"Алгоритмы, структуры"
3,Почему обращение по индексу работает быстро,"Алгоритмы, структуры"
3,Какая сложность у пузырьковой сортировки,"Алгоритмы, структуры"
3,"Откуда берется O(n) и почему это лучше, чем O(n²)","Алгоритмы, структуры"
3,Расскажи про понятие вычислительной сложности.,"Алгоритмы, структуры"
3,"Какая сложность быстрее, линейная или логарифмическая","Алгоритмы, структуры"
3,Что такое хвостовая рекурсия,"Алгоритмы, структуры"
3,Как можно оптимизировать хвостовую рекурсию в Python,"Алгоритмы, структуры"
3,Что такое алгоритм Дейкстры,"Алгоритмы, структуры"
3,Что такое жадные алгоритмы,"Алгоритмы, структуры"
3,Как распознать NP-полную задачу,"Алгоритмы, структуры"
3,Что такое динамическое программирование,"Алгоритмы, структуры"
3,Что такое Алгоритм k ближайших соседей,"Алгоритмы, структуры"
3,Что такое Алгоритм Ричарда Фейнмана,"Алгоритмы, структуры"
3,В чем преимущество синхронной разработки,Асинхронность
3,Какие в asyncio есть три вида табл объекта,Асинхронность
3,Чем отличается task от shared_task,Асинхронность
3,В чем разница между асинхронностью и параллелизмом,Асинхронность
3,Расскажи про eventloop,Асинхронность
3,Что такое await,Асинхронность
3,Зачем нужна конструкция yield from,Асинхронность
3,Корутины выполняются в одном потоке или нескольких,Асинхронность
3,Чем асинхронность отличается от многопоточности,Асинхронность
3,Какие знаешь подводные камни асинхронности в python,Асинхронность
3,Чем отличается асинхронный контекстный менеджер от синхронного,Асинхронность
3,За счет чего асинхронность работает быстрее,Асинхронность
3,Почему вычислять большие значения в асинхронной функции плохо,Асинхронность
3,Что за функция run(),Асинхронность
3,Что за функция sleep(),Асинхронность
3,Что за функция create_task(),Асинхронность
3,Что за функция gather(),Асинхронность
3,Что за функция wait(),Асинхронность
3,Что такое асинхронное программирование,Асинхронность
3,Что такое конкурентность,Асинхронность
3,Что такое параллелизм,Асинхронность
3,Что такое однопоточность,Асинхронность
3,Что такое EXPLAIN,Базы данных
3,Что такое VACUUM в PostgreSQL,Базы данных
3,Что такое курсор и зачем он нужен,Базы данных
3,Что такое вложенные транзакции,Базы данных
3,Какие команды управления транзакциями знаешь,Базы данных
3,Что понимаешь под навыками работы с базами данных,Базы данных
3,Почему оптимизация запросов важный навык,Базы данных
3,Как он работает SQL Join,Базы данных
3,Что такое SQL Join,Базы данных
3,Что такое индекс у реляционной базы данных,Базы данных
3,Какие они бывают join-запросы,Базы данных
3,Зачем нужны join-запросы,Базы данных
3,Какие способы знаешь работы с базой данной,Базы данных
3,Когда происходит запросы к базам при использовании query set,Базы данных
3,Что такое PK и FK в sql,Базы данных
3,Какие базы данных NoSQL знаешь,Базы данных
3,Как индекс ускоряет запросы в БД,Базы данных
3,Как понять что какой-то запрос в БД подтормаживает,Базы данных
3,В чем преимущество NoSQL перед SQL,Базы данных
3,"Где лучше хранить хеш запроса, в redis или postgres",Базы данных
3,Что такое индексы в postgres,Базы данных
3,Чем отличаются оператор where и having в SQL,Базы данных
3,Какие бывают индексы в SQL,Базы данных
3,"Расскажи про денормализация, был ли опыт",Базы данных
3,Что такое уровни изоляции транзакций,Базы данных
3,С какими драйверами работал ли с MongoDB,Базы данных
3,Как посмотреть примерное количество записей в БД,Базы данных
3,Зачем нужны схемы в БД,Базы данных
3,Как посмотреть количество текущих коннектов к базе,Базы данных
3,Какие подводные камни добавления индексов на большие таблицы,Базы данных
3,Какие виды репликаций есть таблицы,Базы данных
3,В каком свойстве можно посмотреть текст sql запроса,Базы данных
3,Чем отличается join от leftjoin,Базы данных
3,Для чего использовал alembic,Базы данных
3,Как происходит профилирование запросов к БД,Базы данных
3,Какие join методы знаешь,Базы данных
3,В чем смысл CAP теоремы,Базы данных
3,В каком порядке выполняются запросы where и having,Базы данных
3,Какие бывают типы JOIN'ов,Базы данных
3,Какие есть особенности работы с репликацией,Базы данных
3,Как пропустить заблокированные поля в БД при использовании select,Базы данных
